Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
GFSA.SCS01G02142,2020.06,5978,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SCS01G02143,2009.06,898,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Dividend income,,,,
GFSA.SCS01G02143,2010.06,2034,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Dividend income,,,,
GFSA.SCS01G02143,2011.06,1702,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Dividend income,,,,
GFSA.SCS01G02143,2012.06,1259,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Dividend income,,,,
GFSA.SCS01G02143,2013.06,1546,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Dividend income,,,,
GFSA.SCS01G02143,2014.06,1734,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Dividend income,,,,
GFSA.SCS01G02143,2015.06,1661,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Dividend income,,,,
GFSA.SCS01G02143,2016.06,2179,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Dividend income,,,,
GFSA.SCS01G02143,2017.06,2076,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Dividend income,,,,
GFSA.SCS01G02143,2018.06,1866,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Dividend income,,,,
GFSA.SCS01G02143,2019.06,2343,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Dividend income,,,,
GFSA.SCS01G02143,2020.06,1882,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Dividend income,,,,
GFSA.SCS01G02144,2009.06,2085,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Interest income,,,,
GFSA.SCS01G02144,2010.06,1716,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Interest income,,,,
GFSA.SCS01G02144,2011.06,2032,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Interest income,,,,
GFSA.SCS01G02144,2012.06,2103,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Interest income,,,,
GFSA.SCS01G02144,2013.06,2117,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Interest income,,,,
GFSA.SCS01G02144,2014.06,2459,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Interest income,,,,
GFSA.SCS01G02144,2015.06,2569,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Interest income,,,,
GFSA.SCS01G02144,2016.06,2400,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Interest income,,,,
GFSA.SCS01G02144,2017.06,2333,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Interest income,,,,
GFSA.SCS01G02144,2018.06,2281,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Interest income,,,,
GFSA.SCS01G02144,2019.06,2137,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Interest income,,,,
GFSA.SCS01G02144,2020.06,1768,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Interest income,,,,
GFSA.SCS01G02981,2009.06,172,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SCS01G02981,2010.06,164,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SCS01G02981,2011.06,174,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SCS01G02981,2012.06,174,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SCS01G02981,2013.06,185,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SCS01G02981,2014.06,214,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SCS01G02981,2015.06,238,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SCS01G02981,2016.06,285,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SCS01G02981,2017.06,253,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SCS01G02981,2018.06,289,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SCS01G02981,2019.06,315,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SCS01G02981,2020.06,333,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SCS01G02982,2009.06,1696,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other current transfers,,,,
GFSA.SCS01G02982,2010.06,1878,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other current transfers,,,,
GFSA.SCS01G02982,2011.06,1970,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other current transfers,,,,
GFSA.SCS01G02982,2012.06,1935,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other current transfers,,,,
GFSA.SCS01G02982,2013.06,2075,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other current transfers,,,,
GFSA.SCS01G02982,2014.06,2039,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other current transfers,,,,
GFSA.SCS01G02982,2015.06,1827,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other current transfers,,,,
GFSA.SCS01G02982,2016.06,1697,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other current transfers,,,,
GFSA.SCS01G02982,2017.06,1792,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other current transfers,,,,
GFSA.SCS01G02982,2018.06,2004,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other current transfers,,,,
GFSA.SCS01G02982,2019.06,2145,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other current transfers,,,,
GFSA.SCS01G02982,2020.06,2282,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other current transfers,,,,
GFSA.SCS01G02991,2009.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SCS01G02991,2010.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SCS01G02991,2011.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SCS01G02991,2012.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SCS01G02991,2013.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SCS01G02991,2014.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SCS01G02991,2015.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SCS01G02991,2016.06,99,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SCS01G02991,2017.06,75,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Capital grants,,,,
